1165,SFCE
1166,SOLARTECH INT'L
1167,JACOBIO-B
1168,Z FIN
1170,KINGMAKER
1171,YANKUANG ENERGY
1172,MAGNUSCONCORDIA
1173,VEEKO INT'L
1176,ZHUGUANG HOLD
1177,SBP GROUP
1179,HWORLD-S
1180,PARADISE ENT
1181,TANG PALACE
1182,SUCCESS DRAGON
1183,MECOM POWER
1184,S.A.S. DRAGON
1186,CHINA RAIL CONS
1187,COFOE MEDICAL
1188,HYBRID KINETIC
1191,CREALIGHTS
1193,CHINA RES GAS
1195,KINGWELL GROUP
1196,REALORD TECH
1198,ROYALE HOME
1199,COSCO SHIP PORT
1200,MIDLAND HOLDING
1201,TESSON HOLDINGS
1202,SIWI SCI & TECH
1203,GUANGNAN (HOLD)
1204,BOARDWARE INTEL
1205,CITIC RESOURCES
1206,TECHNOVATOR
1208,MMG
1209,CHINA RES MIXC
1211,BYD COMPANY
1213,MOBICON GROUP
1215,KAI YUAN HLDGS
1216,ZYBANK
1217,CH INNOVATION
1218,EASYKNIT-NEW
1220,ZHIDAO INT'L
1221,SINO HOTELS
1222,WANG ON GROUP
1223,SYMPHONY HOLD
1224,C C LAND
1225,LERADO FIN
1226,CH INV FIN GP
1228,CANBRIDGE-B
1229,NAN NAN RES
1231,NEWTON RES
1232,GW TIANDI
1233,TIMES CHINA
1234,CHINA LILANG
1235,TRAVEL EXPERT
1236,LDROBOT
1237,CH ENV TECH&BIO
1238,POWERLONG
1239,TEAMWAY INTL GP
1240,CNQC INT'L
1241,SHUANGHUA H
1243,WANG ON PPT
1244,3D MEDICINES
1245,NIRAKU
1247,MIKO INTL
1250,SDHS NEW ENERGY
1251,SPT ENERGY
1252,CHINA TIANRUI
1253,GREEN BROAD
1255,TATA HEALTH
1257,CEB GREENTECH
1258,CHINFMINING
1259,PROSPER FUTURE
1260,WONDERFUL SKY
1262,LABIXIAOXIN
1265,TIANJINJINRAN
1268,MEIDONG AUTO
1269,FIRST CAP GP
1270,LANGHAM-SS
1271,GRAND MING
1272,DATANG ENVIRO
1273,HK FINANCE GP
1274,IMOTIONTECH
1276,HENGRUI PHARMA
1277,KINETIC DEV
1278,CHINANEWTOWN
1280,QIDIAN GUOFENG
1281,XINDA INV HLDGS
1282,RENZE HARVEST
1283,ACCEL GROUP
1284,NEW MEDIA LAB
1285,JIASHILI GP
1286,IMPRO PRECISION
1288,ABC
1289,SUNLIT SCI
1290,CHINA HUIRONG
1292,CM LOGISTICS
1293,GRAND BAOXIN
1298,YUNNAN ENERGY
1299,AIA
1300,TRIGIANT
1301,D&G TECH
1302,LIFETECH SCI
1303,HUILI RES
1304,FORTIOR
1305,WAI CHI HOLD
1308,SITC
1310,HKBN
1312,KONTA CHINA
1313,CR BLDG MAT TEC
1314,TSUI WAH HLDG
1315,GREEN ECONOMY
1316,NEXTEER
1317,MAPLELEAF EDU
1318,MAO GEPING
1319,OIWAHPAWN
1321,CHINA NEWCITY
1323,HUASHENG INTL
1326,TRANSMIT ENT
1327,LUXXU GROUP
1328,GOLDSTREAM INV
1330,DYNAGREEN ENV
1332,TOUYUN BIOTECH
1333,BRETON
1334,RUICHANG INTL
1335,SHEEN TAI
1336,NCI
1338,BAWANG GROUP
1339,PICC GROUP
1340,HUISHENG INTL
1341,HAO TIAN INTL
1343,WEI YUAN HLDG
1345,SH PIONEER HLDG
1346,LEVER STYLE
1347,HUA HONG GRACE
1348,QUALI-SMART
1349,FUDANZHANGJIANG
1351,BRIGHT FUTURE
1354,KINGFARPROPERTY
1355,BIOSYSEN
1357,MEITU
1358,PW MEDTECH
1359,CHINA CINDA
1361,361 DEGREES
1362,SIS MOBILE
1364,GUMING
1368,XTEP INT'L
1370,AOWEI HOLDING
1371,CHINA ECOTOUR
1372,C CARBONNEUTRAL
